movieid,title,genres,clean_text
1452,Superman Returns,Adventure Fantasy Action Science Fiction,adventure fantasy action science fiction saving world dc comics invulnerability sequel superhero based comic book kryptonite super powers superhuman strength lex luthor superman returns discover year absence allowed lex luthor walk free closest felt abandoned moved luthor plots ultimate revenge could see millions killed change face planet forever well ridding man steel brandon routh kevin spacey kate bosworth james marsden parker posey
10764,Quantum of Solace,Adventure Action Thriller Crime,adventure action thriller crime killing undercover secret agent british secret service quantum solace continues adventures james bond casino royale betrayed vesper woman loved fights urge make latest mission personal pursuing determination uncover truth bond interrogate mr white reveals organization blackmailed vesper far complex dangerous anyone imagined daniel craig olga kurylenko mathieu amalric judi dench giancarlo giannini
58,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,adventure fantasy action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger captain jack sparrow works way blood debt ghostly davey jones also attempts avoid eternal damnation johnny depp orlando bloom keira knightley stellan skarsgrd bill nighy
57201,The Lone Ranger,Action Adventure Western,action adventure western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche lone ranger tonto texas rangers chase gang outlaws led butch cavendish gang ambushes rangers seemingly killing one survivor found however american indian named tonto nurses back health ranger donning mask riding white stallion named silver teams tonto bring unscrupulous gang others ilk justice johnny depp armie hammer william fichtner helena bonham carter james badge dale
49521,Man of Steel,Action Adventure Fantasy Science Fiction,action adventure fantasy science fiction saving world dc comics superhero based comic book superhuman alien invasion reboot super powers dc extended universe young boy learns extraordinary powers earth young man journeys discover came sent hero must emerge save world annihilation become symbol hope mankind henry cavill amy adams michael shannon kevin costner diane lane
2454,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,adventure family fantasy based novel fictional place brother sister relationship lion human wretch leap time matter life death faith uncle narnia fantasy world one year incredible adventures lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince whose life threatened evil king miraz help colorful cast new characters including trufflehunter badger nikabrik dwarf pevensie clan embarks incredible quest ensure narnia returned rightful heir ben barnes william moseley anna popplewell skandar keynes georgie henley
24428,The Avengers,Science Fiction Action Adventure,science fiction action adventure new york shield marvel comic superhero based comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known shield finds need team pull world back brink disaster spanning globe daring recruitment effort begins robert downey jr chris evans mark ruffalo chris hemsworth scarlett johansson
1865,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,adventure action fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger captain jack sparrow crosses paths woman past hes sure love shes ruthless con artist whos using find fabled fountain youth forces aboard queen annes revenge ship formidable pirate blackbeard jack finds unexpected adventure doesnt know fear blackbeard woman past johnny depp penlope cruz ian mcshane kevin mcnally geoffrey rush
41154,Men in Black 3,Action Comedy Science Fiction,action comedy science fiction time travel time machine alien fictional government agency seeing future changing history agents smith tommy lee jones backin time seen inexplicable things years men black nothing even aliens perplexes much wry reticent partner ks life fate planet put stake agent travel back time put things right discovers secrets universe never told secrets reveal teams young agent josh brolin save partner agency future humankind smith tommy lee jones josh brolin michael stuhlbarg emma thompson
122917,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,action adventure fantasy corruption elves dwarves orcs middleearth tolkien hobbit dragon battle unlikely friendship epic battle sword sorcery immediately events desolation smaug bilbo dwarves try defend erebors mountain treasure others claim men ruined laketown elves mirkwood meanwhile army orcs led azog defiler marching erebor fueled rise dark lord sauron dwarves elves men must unite hope middleearth falls bilbos hands martin freeman ian mckellen richard armitage ken stott graham mctavish
1930,The Amazing Spider-Man,Action Adventure Fantasy,action adventure fantasy loss father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger peter parker outcast high schooler abandoned parents boy leaving raised uncle ben aunt may like teenagers peter trying figure got person today peter discovers mysterious briefcase belonged father begins quest understand parents disappearance leading directly oscorp lab dr curt connors fathers former partner spiderman set collision course connors alter ego lizard peter make lifealtering choices use powers shape destiny become hero andrew garfield emma stone rhys ifans denis leary campbell scott
20662,Robin Hood,Action Adventure,action adventure robin hood archer knight sherwood forest bow arrow middle ages medieval king england soldier robin happens upon dying robert loxley promises return mans sword family nottingham assumes roberts identity romances widow marion draws ire towns sheriff king johns henchman godfrey russell crowe cate blanchett max von sydow william hurt mark strong
57158,The Hobbit: The Desolation of Smaug,Adventure Fantasy,adventure fantasy elves dwarves orcs hobbit dragon wizard sword sorcery dwarves bilbo gandalf successfully escaped misty mountains bilbo gained one ring continue journey get gold back dragon smaug martin freeman ian mckellen richard armitage ken stott graham mctavish
2268,The Golden Compass,Adventure Fantasy,adventure fantasy england compass experiment lordship uncle polar bear orphan animal based young adult novel overhearing shocking secret precocious orphan lyra belacqua trades carefree existence roaming halls jordan college otherworldly adventure far north unaware part destiny dakota blue richards nicole kidman daniel craig sam elliott eva green
254,King Kong,Adventure Drama Action,adventure drama action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur new york overly ambitious movie producer coerces cast hired ship crew travel mysterious skull island encounter kong giant ape immediately smitten leading lady naomi watts jack black adrien brody thomas kretschmann colin hanks
597,Titanic,Drama Romance Thriller,drama romance thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob years later yearold woman named rose dewitt bukater tells story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april th ship called titanic young rose boards departing ship upperclass passengers mother ruth dewitt bukater fianc caledon hockley meanwhile drifter artist named jack dawson best friend fabrizio de rossi win thirdclass tickets ship game explains whole story departure death titanic first last voyage april th morning kate winslet leonardo dicaprio frances fisher billy zane kathy bates
271110,Captain America: Civil War,Adventure Action Science Fiction,adventure action science fiction civil war war marvel comic sequel superhero based comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe following events age ultron collective governments world pass act designed regulate superhuman activity polarizes opinion amongst avengers causing two factions side iron man captain america causes epic battle former allies chris evans robert downey jr scarlett johansson sebastian stan anthony mackie
44833,Battleship,Thriller Action Adventure Science Fiction,thriller action adventure science fiction fight us navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs staff crash landing jet fighter pilot navy lieutenant permission marry uss john paul jones based board game aftercreditsstinger mighty mo uss missouri mankind beams radio signal space reply comes planet form several alien crafts splash waters hawaii lieutenant alex hopper weapons officer assigned uss john paul jones part international naval coalition becomes worlds last hope survival engage hostile alien force unimaginable strength taking invaders hopper must also try live potential brother fiances father admiral shane expect taylor kitsch alexander skarsgrd rihanna brooklyn decker tadanobu asano
135397,Jurassic World,Action Adventure Science Fiction Thriller,action adventure science fiction thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park animal horror twentytwo years events jurassic park isla nublar features fully functioning dinosaur theme park jurassic world originally envisioned john hammond chris pratt bryce dallas howard irrfan khan vincent donofrio nick robinson
37724,Skyfall,Action Adventure Thriller,action adventure thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating police officer macao bonds latest assignment goes gravely wrong agents around world exposed mi attacked forcing relocate agency events cause authority position challenged gareth mallory new chairman intelligence security committee mi compromised inside left one ally trust bond takes shadows aided field agent eve following trail mysterious silva whose lethal hidden motives yet reveal daniel craig judi dench javier bardem ralph fiennes naomie harris
558,Spider-Man 2,Action Adventure Fantasy,action adventure fantasy dual identity love ones life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain peter parker going major identity crisis burned spiderman decides shelve superhero alter ego leaves city suffering wake carnage left evil doc ock meantime parker still cant act feelings mary jane watson girl hes loved since childhood tobey maguire kirsten dunst james franco alfred molina rosemary harris
68721,Iron Man 3,Action Adventure Science Fiction,action adventure science fiction terrorist war terror tennessee malibu marvel comic superhero based comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin war machine iron patriot extremis tony starks world torn apart formidable terrorist called mandarin starts odyssey rebuilding retribution robert downey jr gwyneth paltrow cheadle guy pearce rebecca hall
12155,Alice in Wonderland,Family Fantasy Adventure,family fantasy adventure based novel fictional place queen fantasy alice wonderland fantasy world alice unpretentious individual yearold betrothed dunce english nobleman engagement party escapes crowd consider whether go marriage falls hole garden spotting unusual rabbit arriving strange surreal place called underland finds world resembles nightmares child filled talking animals villainous queens knights frumious bandersnatches alice realizes reason conquer horrific jabberwocky restore rightful queen throne mia wasikowska johnny depp anne hathaway helena bonham carter crispin glover
36668,X-Men: The Last Stand,Adventure Action Science Fiction Thriller,adventure action science fiction thriller mutant marvel comic based comic book superhuman beast cyclops aftercreditsstinger cure found treat mutations lines drawn amongst xmen brotherhood band powerful mutants organized xaviers former ally magneto hugh jackman halle berry ian mckellen patrick stewart famke janssen
62211,Monsters University,Animation Family,animation family monster dormitory games animation best friend university scary aftercreditsstinger look relationship mike sulley days monsters university werent necessarily best friends billy crystal john goodman steve buscemi helen mirren noah johnston
8373,Transformers: Revenge of the Fallen,Science Fiction Action Adventure,science fiction action adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger sam witwicky leaves autobots behind normal life mind filled cryptic symbols decepticons target dragged back transformers war shia labeouf megan fox josh duhamel rainn wilson tyrese gibson
91314,Transformers: Age of Extinction,Science Fiction Action Adventure,science fiction action adventure sequel alien transformers giant robot robot imax transforming robot humanity picks pieces following conclusion transformers dark moon autobots decepticons vanished face planet however group powerful ingenious businessman scientists attempt learn past transformer incursions push boundaries technology beyond control ancient powerful transformer menace sets earth crosshairs mark wahlberg stanley tucci kelsey grammer nicola peltz jack reynor
68728,Oz: The Great and Powerful,Fantasy Adventure Family,fantasy adventure family circus witch magic hope illusion lost magic trick wizard oscar diggs smalltime circus illusionist conartist whisked kansas land oz inhabitants assume hes great wizard prophecy save oz clutches evil james franco mila kunis rachel weisz michelle williams zach braff
102382,The Amazing Spider-Man 2,Action Adventure Fantasy,action adventure fantasy obsession marvel comic sequel based comic book electrocution medical experiment electricity super powers peter parker life busy taking bad guys spiderman spending time person loves gwen stacy high school graduation cannot come quickly enough peter forgotten promise made gwens father protect staying away promise cannot keep things change peter new villain electro emerges old friend harry osborn returns peter uncovers new clues past andrew garfield emma stone jamie foxx dane dehaan campbell scott
20526,TRON: Legacy,Adventure Action Science Fiction,adventure action science fiction artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy sam flynn techsavvy daring son kevin flynn investigates fathers disappearance pulled grid help mysterious program named quorra sam quests stop evil dictator clu crossing real world garrett hedlund jeff bridges olivia wilde bruce boxleitner yaya dacosta
49013,Cars 2,Animation Family Adventure Comedy,animation family adventure comedy car race sequel comedy anthropomorphism best friend duringcreditsstinger star race car lightning mcqueen pal mater head overseas compete world grand prix race road championship becomes rocky mater gets caught intriguing adventure international espionage owen wilson larry cable guy michael caine emily mortimer john turturro
44912,Green Lantern,Adventure Action Thriller Science Fiction,adventure action thriller science fiction dc comics transformation superhero alien alien infection magical object protector super powers origin centuries small powerful force warriors called green lantern corps sworn keep intergalactic order green lantern wears ring grants superpowers new enemy called parallax threatens destroy balance power universe fate fate earth lie hands first human ever recruited ryan reynolds blake lively peter sarsgaard tim robbins mark strong
10193,Toy Story 3,Animation Family Comedy,animation family comedy hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes life personification inanimate objects coming life toy story woody buzz rest andys toys havent played years andy go college gang find accidentally left nefarious day care center toys must band together escape return home andy tom hanks tim allen ned beatty joan cusack michael keaton
534,Terminator Salvation,Action Science Fiction Thriller,action science fiction thriller saving world artificial intelligence prophecy san francisco cyborg killer robot gas station postapocalyptic dystopia army firearm wartime los angeles grown postapocalyptic john connor must lead resistance humans increasingly dominating militaristic robots marcus wright appears existence confuses mission connor tries determine whether wright come future past whether hes friend foe christian bale sam worthington anton yelchin moon bloodgood bryce dallas howard
168259,Furious 7,Action,action car race speed revenge suspense car race muscle car deckard shaw seeks revenge dominic toretto family comatose brother vin diesel paul walker dwayne johnson michelle rodriguez tyrese gibson
72190,World War Z,Action Drama Horror Science Fiction Thriller,action drama horror science fiction thriller dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse life former united nations investigator gerry lane family seems content suddenly world plagued mysterious infection turning whole human populations rampaging mindless zombies barely escaping chaos lane persuaded go mission investigate disease follows perilous trek around world lane must brave horrific dangers long odds find answers human civilization falls brad pitt mireille enos abigail hargrove sterling jerins james badge dale
127585,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,action adventure fantasy science fiction mutant time travel marvel comic based comic book superhuman storm beast aftercreditsstinger changing past future ultimate xmen ensemble fights war survival species across two time periods join forces younger selves epic battle must change past save future hugh jackman james mcavoy michael fassbender jennifer lawrence halle berry
54138,Star Trek Into Darkness,Action Adventure Science Fiction,action adventure science fiction spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing crew enterprise called back home find unstoppable force terror within organization detonated fleet everything stands leaving world state crisis personal score settle captain kirk leads manhunt warzone world capture one man weapon mass destruction heroes propelled epic chess game life death love challenged friendships torn apart sacrifices must made family kirk left crew chris pine zachary quinto zoe saldana karl urban simon pegg
81005,Jack the Giant Slayer,Action Family Fantasy,action family fantasy based fairy tale giant story ancient war reignited young farmhand unwittingly opens gateway world fearsome race giants unleashed earth first time centuries giants strive reclaim land lost forcing young man jack battle life stop fighting kingdom people love brave princess comes face face unstoppable warriors thought existed legendand gets chance become legend nicholas hoult eleanor tomlinson ewan mcgregor stanley tucci ian mcshane
64682,The Great Gatsby,Drama Romance,drama romance based novel infidelity obsession hope adaptation scott fitzgeralds long islandset novel midwesterner nick carraway lured lavish world neighbor jay gatsby soon enough however carraway see cracks gatsbys nouveau riche existence obsession madness tragedy await leonardo dicaprio tobey maguire carey mulligan joel edgerton elizabeth debicki
9543,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,adventure fantasy action romance persia sandstorm brother brother armageddon regent based video game rogue prince reluctantly joins forces mysterious princess together race dark forces safeguard ancient dagger capable releasing sands time gift gods reverse time allow possessor rule world jake gyllenhaal gemma arterton ben kingsley alfred molina steve toussaint
68726,Pacific Rim,Action Science Fiction Adventure,action science fiction adventure dystopia giant robot giant monster apocalypse imax duringcreditsstinger legions monstrous creatures known kaiju started rising sea war began would take millions lives consume humanitys resources years end combat giant kaiju special type weapon devised massive robots called jaegers controlled simultaneously two pilots whose minds locked neural bridge even jaegers proving nearly defenseless face relentless kaiju verge defeat forces defending mankind choice turn two unlikely heroesa washedup former pilot charlie hunnam untested trainee rinko kikuchiwho teamed drive legendary seemingly obsolete jaeger past together stand mankinds last hope mounting apocalypse idris elba charlie hunnam charlie day ron perlman burn gorman
38356,Transformers: Dark of the Moon,Action Science Fiction Adventure,action science fiction adventure moon spacecraft traitor bodyguard alien planet based cartoon transformers giant robot sabotage word domination commando duringcreditsstinger sam witwicky takes first tenuous steps adulthood remaining reluctant human ally autobotleader optimus prime film centers around space race ussr usa suggesting hidden transformers role remains one planets dangerous secrets shia labeouf john malkovich ken jeong frances mcdormand josh duhamel
217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,adventure action saving world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology set cold war soviets led swordwielding irina spalko search crystal skull supernatural powers related mystical lost city gold captured escaping indy coerced head peru behest young man whose friend indys colleague professor oxley captured knowledge skulls whereabouts harrison ford cate blanchett shia labeouf ray winstone karen allen
105864,The Good Dinosaur,Adventure Animation Family,adventure animation family tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey epic journey world dinosaurs apatosaurus named arlo makes unlikely human friend raymond ochoa jack bright jeffrey wright frances mcdormand maleah nipaypadilla
62177,Brave,Animation Adventure Comedy Family Action Fantasy,animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns animal archery ruins aftercreditsstinger peace offering woman director courage brave set mystical scottish highlands mrida princess kingdom ruled king fergus queen elinor unruly daughter accomplished archer mrida one day defies sacred custom land inadvertently brings turmoil kingdom attempt set things right mrida seeks eccentric old wise woman granted illfated wish also figuring mridas quest serving comic relief kingdoms three lords enormous lord macguffin surly lord macintosh disagreeable lord dingwall kelly macdonald julie walters billy connolly emma thompson kevin mckidd
188927,Star Trek Beyond,Action Adventure Science Fiction,action adventure science fiction sequel stranded hatred space opera uss enterprise crew explores furthest reaches uncharted space encounter mysterious new enemy puts everything federation stands test chris pine zachary quinto karl urban simon pegg zoe saldana
10681,WALL·E,Animation Family,animation family romantic comedy walle last robot left earth overrun garbage humans fled outer space years continued try clean mess developed rather interesting humanlike qualities ship arrives sleek new type robot walle thinks hes finally found friend stows away ship leaves ben burtt elissa knight jeff garlin fred willard john ratzenberger
5174,Rush Hour 3,Action Comedy Crime Thriller,action comedy crime thriller ambassador attempted assassination ambassador han inspector lee detective carter back action head paris protect french woman knowledge triads secret leaders lee also holds secret meetings united nations authority personal struggles chinese criminal mastermind named kenji reveals lees longlostbrother chris tucker jackie chan hiroyuki sanada max von sydow yvan attal
14161,2012,Action Adventure Science Fiction,action adventure science fiction civilization natural disaster end world disaster apocalypse destruction volcanic eruption mayan ark solar destruction mankind dr adrian helmsley part worldwide geophysical team investigating effect earth radiation unprecedented solar storms learns earths core heating warns us president thomas wilson crust earth becoming unstable without proper preparations saving fraction worlds population entire race doomed meanwhile writer jackson curtis stumbles information worlds leaders race build arks escape impending cataclysm curtis struggles find way save family meanwhile volcanic eruptions earthquakes unprecedented strength wreak havoc around world john cusack amanda peet chiwetel ejiofor thandie newton oliver platt
17979,A Christmas Carol,Animation Drama,animation drama holiday based novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas miser ebenezer scrooge awakened christmas eve spirits reveal miserable existence opportunities wasted youth current cruelties dire fate awaits change ways scrooge faced story growing bitterness meanness must decide future hold death redemption gary oldman jim carrey steve valentine daryl sabara sage ryan
76757,Jupiter Ascending,Science Fiction Fantasy Action Adventure,science fiction fantasy action adventure jupiter space woman director interspecies romance universe human genetic material precious commodity impoverished young earth woman becomes key strategic maneuvers internal strife within powerful dynasty mila kunis channing tatum sean bean eddie redmayne douglas booth
258489,The Legend of Tarzan,Action Adventure,action adventure africa feral child tarzan jungle animal attack tarzan acclimated life london called back former home jungle investigate activities mining encampment alexander skarsgrd margot robbie christoph waltz samuel jackson djimon hounsou
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,adventure family fantasy saving world witch based novel brother sister relationship self sacrifice winter cupboard beaver lion fairytale figure battle narnia fantasy world duringcreditsstinger siblings lucy edmund susan peter step magical wardrobe find land narnia discover charming peaceful kingdom plunged eternal winter evil white witch jadis aided wise magnificent lion aslan children lead narnia spectacular climactic battle free witchs glacial powers forever william moseley anna popplewell skandar keynes georgie henley liam neeson
246655,X-Men: Apocalypse,Science Fiction,science fiction mutant supernatural powers marvel comic superhero based comic book superhuman apocalypse superhero team world domination aftercreditsstinger reemergence worlds first mutant worlddestroyer apocalypse xmen must unite defeat extinction level plan james mcavoy michael fassbender jennifer lawrence nicholas hoult oscar isaac
155,The Dark Knight,Drama Action Crime Thriller,drama action crime thriller dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman batman raises stakes war crime help lt jim gordon district attorney harvey dent batman sets dismantle remaining criminal organizations plague streets partnership proves effective soon find prey reign chaos unleashed rising criminal mastermind known terrified citizens gotham joker christian bale heath ledger aaron eckhart michael caine maggie gyllenhaal
14160,Up,Animation Comedy Family Adventure,animation comedy family adventure age difference central south america balloon animation floating air duringcreditsstinger exploring carl fredricksen spent entire life dreaming exploring globe experiencing life fullest age life seems passed twist fate persistent year old wilderness explorer named russell gives new lease life ed asner christopher plummer jordan nagai bob peterson delroy lindo
15512,Monsters vs Aliens,Animation Family Adventure Science Fiction,animation family adventure science fiction alien giant robot duringcreditsstinger susan murphy unwittingly clobbered meteor full outer space gunk wedding day mysteriously grows feetinches military jumps action captures susan secreting away covert government compound renamed ginormica placed confinement ragtag group monsters seth rogen reese witherspoon hugh laurie paul rudd kiefer sutherland
1726,Iron Man,Action Science Fiction Adventure,action science fiction adventure middle east arms dealer malibu marvel comic superhero based comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson held captive afghan cave billionaire engineer tony stark creates unique weaponized suit armor fight evil robert downey jr terrence howard jeff bridges shaun toub gwyneth paltrow
44826,Hugo,Adventure Drama Family,adventure drama family library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman hugo orphan boy living walls train station paris learned fix clocks gadgets father uncle puts use keeping train station clocks running thing left connects dead father automaton mechanical man doesnt work without special key hugo needs find unlock secret believes contains adventures meets shopkeeper george melies works train station adventureseeking goddaughter hugo finds surprising connection father automaton discovers unlocks memories old man buried inside regarding past ben kingsley sacha baron cohen asa butterfield chlo grace moretz ray winstone
8487,Wild Wild West,Action Adventure Comedy Science Fiction Western,action adventure comedy science fiction western steampunk based tv series steam locomotive drag legless southern inventor dr arliss loveless plans rekindle civil war assassinating president us grant two men stop gunfighter james west masterofdisguise inventor artemus gordon two must team thwart loveless plans smith kevin kline kenneth branagh salma hayek emmet walsh
1735,The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,adventure action fantasy archaeologist rick oconnell travels china pitting emperor yearold han dynasty whos returned dead pursue quest world domination time oconnell enlists help wife son quash socalled dragon emperor abuse supernatural power brendan fraser jet li john hannah maria bello luke ford
297761,Suicide Squad,Action Adventure Crime Fantasy Science Fiction,action adventure crime fantasy science fiction dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe dc comics comes suicide squad antihero team incarcerated supervillains act deniable assets united states government undertaking highrisk black ops missions exchange commuted prison sentences smith margot robbie joel kinnaman viola davis jared leto
2698,Evan Almighty,Fantasy Comedy Family,fantasy comedy family father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noahs ark god contacts congressman evan baxter tells build ark preparation great flood steve carell lauren graham john goodman jimmy bennett john michael higgins
137113,Edge of Tomorrow,Action Science Fiction,action science fiction deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton major bill cage officer never seen day combat unceremoniously demoted dropped combat cage killed within minutes managing take alpha alien awakens back beginning day forced fight die physical contact alien thrown time loop tom cruise emily blunt brendan gleeson bill paxton jonas armstrong
9804,Waterworld,Adventure Action,adventure action ocean tattoo mutant water dystopia doomsday futuristic world polar ice caps melted made earth liquid planet beautiful barmaid rescues mutant seafarer floating island prison escape along young charge enola sail aboard ship trio soon becomes target menacing pirate covets map dryland tattooed enolas back kevin costner chaim girafi rick aviles call zitto kazann
14869,G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,adventure action thriller science fiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra egyptian desert deep polar ice caps elite gi joe team uses latest nextgeneration spy military equipment fight corrupt arms dealer destro growing threat mysterious cobra organization prevent plunging world chaos dennis quaid channing tatum marlon wayans sienna miller joseph gordonlevitt
150540,Inside Out,Drama Comedy Animation Family,drama comedy animation family dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger emotions growing bumpy road exception riley uprooted midwest life father starts new job san francisco like us riley guided emotions joy fear anger disgust sadness emotions live headquarters control center inside rileys mind help advise everyday life riley emotions struggle adjust new life san francisco turmoil ensues headquarters although joy rileys main important emotion tries keep things positive emotions conflict best navigate new city house school amy poehler phyllis smith richard kind bill hader lewis black
278927,The Jungle Book,Family Adventure Drama Fantasy,family adventure drama fantasy based novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking animals threat tiger shere khan forces flee jungle mancub named mowgli embarks journey self discovery help panther bagheera free spirited bear baloo neel sethi bill murray ben kingsley idris elba scarlett johansson
